2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000190 (id: 170)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 170|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 3|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000191 (id: 171)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 171|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: PU|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000191 (id: 171)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 171|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000191 (id: 171)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 171|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-04-07|
